TRANSACTION_ID,WAREHOUSE_ID,TRANSACTION_TIMESTAMP,DATE,HOUR,ORDER_TYPE,ORDER_TYPE_CATEGORY,ORDER_CHANNEL,USER_ID,ACTION_CODE,ORDER_NUMBER,ORDER_LINE_ITEM,ARTICLE,DEVICE_CODE,SHIP_LINE_ID,GIFT_FLAG,FROM_AREA_CODE,TO_AREA_CODE,FROM_STORAGE_LOCATION,TO_STORAGE_LOCATION,ORDER_CATEGORY,INVENTORY_DETAIL_NUMBER,QUANTITY
00006XB1YO,DC01,2021-11-02 8:08:21 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER1,LSTPCK,262893304,1,80275015,7,SLN00EYGRP,0,PICK,RDTS000001,31-04-04-01,7,eComm Canada,D000000FFLR3,1
00006XBDUP,DC01,2021-11-02 8:35:51 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER2,LSTPCK,262887800,3,72505068,67,SLN00EYAPJ,0,PICK,RDTS000001,69-07-02-02,67,eComm Canada,D000000FG9V3,1
00006XBF7O,DC01,2021-11-02 8:41:32 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER3,LSTPCK,82614572,720,96614010,12,SLN00EYFK9,0,PICK,RDTS000001,75-20-02-03,12,Replenishment,D000000FG9YV,1
00006XBD97,DC01,2021-11-02 8:32:10 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER4,ASSUMEDPCK,262893184,3,85259008,50,SLN00EYH15,0,PICK,RDTS000001,56-15-03-03,50,eComm Canada,D000000FG9T8,1
00006XBCB6,DC01,2021-11-02 8:24:57 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,LSTPCK,82611098,1300,81361004,35,SLN00EXO7V,0,PICK,RDTS000001,23-19-02-02,35,Replenishment,D000000FG9NO,5
00006XBCWX,DC01,2021-11-02 8:29:50 AM,02-Nov-21,8,E01,ECOMM CA,ECOMMERCE,USER6,PKOCLOSE,262895640,1,84572185,STNPACK-016,SLN00EY868,0,WRKS,PACK,STNPACK-016,STNPACK-016-STG,eComm Canada,D000000FG6CB,1
00006XB0H6,DC01,2021-11-02 8:04:59 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER7,LSTPCK,82614594,610,82379014,27,SLN00EYB95,0,PICK,RDTS000001,26-15-03-04,27,Replenishment,D000000FG94Y,1
00006XB7CQ,DC01,2021-11-02 8:17:46 AM,02-Nov-21,8,E01,ECOMM CA,ECOMMERCE,USER4,LSTPCK,262877156,1,84718040,50,SLN00EYGYK,0,PICK,RDTS000001,20-05-03-01,50,eComm Canada,D000000FG9ID,1
00006XBJYE,DC01,2021-11-02 8:52:36 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER7,ASSUMEDPCK,82614576,1370,83287009,27,SLN00EYFON,0,PICK,RDTS000001,74-04-03-02,27,Replenishment,D000000FGA9E,1
00006XBK8H,DC01,2021-11-02 8:54:17 AM,02-Nov-21,8,E07,ECOMM US,ECOMMERCE,USER8,PKOCLOSE,262869274,1,90753018,STNPACK-027,SLN00EY8EH,0,WRKS,PACK,STNPACK-027,STNPACK-027-STG,eComm USA S321,D000000FG6Q2,1
00006XBEDG,DC01,2021-11-02 8:39:22 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER4,ASSUMEDPCK,262895454,2,84718034,50,SLN00EYH0D,0,PICK,RDTS000001,68-17-03-01,50,eComm Canada,D000000FG9XC,1
